state,stateLabel,stateQID,capitalLabel,population,area,borderStateLabel
http://www.wikidata.org/entity/Q1603,Kentucky,Q1603,Frankfort,4505836,104659,West Virginia
http://www.wikidata.org/entity/Q1603,Kentucky,Q1603,Frankfort,4505836,104659,Ohio
http://www.wikidata.org/entity/Q1603,Kentucky,Q1603,Frankfort,4505836,104659,Indiana
http://www.wikidata.org/entity/Q1603,Kentucky,Q1603,Frankfort,4505836,104659,Tennessee
http://www.wikidata.org/entity/Q1603,Kentucky,Q1603,Frankfort,4505836,104659,Missouri
http://www.wikidata.org/entity/Q1588,Louisiana,Q1588,New Orleans,4657757,135382,Texas
http://www.wikidata.org/entity/Q1588,Louisiana,Q1588,Baton Rouge,4657757,135382,Texas
http://www.wikidata.org/entity/Q1588,Louisiana,Q1588,New Orleans,4657757,135382,Mississippi
http://www.wikidata.org/entity/Q1588,Louisiana,Q1588,Baton Rouge,4657757,135382,Mississippi
http://www.wikidata.org/entity/Q1588,Louisiana,Q1588,New Orleans,4657757,135382,Arkansas
http://www.wikidata.org/entity/Q1588,Louisiana,Q1588,Baton Rouge,4657757,135382,Arkansas
http://www.wikidata.org/entity/Q724,Maine,Q724,Augusta,1362359,91646,New Hampshire
http://www.wikidata.org/entity/Q1391,Maryland,Q1391,Annapolis,6177224,32131,Virginia
http://www.wikidata.org/entity/Q1391,Maryland,Q1391,Annapolis,6177224,32131,West Virginia
http://www.wikidata.org/entity/Q1391,Maryland,Q1391,Annapolis,6177224,32131,Delaware
http://www.wikidata.org/entity/Q1391,Maryland,Q1391,Annapolis,6177224,32131,Pennsylvania
http://www.wikidata.org/entity/Q771,Massachusetts,Q771,Boston,7029917,27336,New Hampshire
http://www.wikidata.org/entity/Q771,Massachusetts,Q771,Boston,7029917,27336,Connecticut
http://www.wikidata.org/entity/Q771,Massachusetts,Q771,Boston,7029917,27336,New York
http://www.wikidata.org/entity/Q771,Massachusetts,Q771,Boston,7029917,27336,Rhode Island
http://www.wikidata.org/entity/Q771,Massachusetts,Q771,Boston,7029917,27336,Vermont
