"state","stateLabel","capitalLabel","population","area","categories"
"http://dbpedia.org/resource/Indiana","Indiana",,,94321000000.0,"1816 establishments in the United States, Articles containing video clips, Contiguous United States, Indiana, Midwestern United States, States and territories established in 1816, States of the United States"
"http://dbpedia.org/resource/Iowa","Iowa","Des Moines, Iowa",,56274000000.0,"1846 establishments in Iowa, Contiguous United States, Iowa, Midwestern United States, States and territories established in 1846, States of the United States"
"http://dbpedia.org/resource/Iowa","Iowa","Des Moines, Iowa",,145747000000.0,"1846 establishments in Iowa, Contiguous United States, Iowa, Midwestern United States, States and territories established in 1846, States of the United States"
"http://dbpedia.org/resource/Kansas","Kansas","Topeka, Kansas",,213100000000.0,"1861 establishments in the United States, Contiguous United States, Kansas, Midwestern United States, States and territories established in 1861, States of the United States"
"http://dbpedia.org/resource/Kansas","Kansas","Topeka, Kansas",,82278000000.0,"1861 establishments in the United States, Contiguous United States, Kansas, Midwestern United States, States and territories established in 1861, States of the United States"
"http://dbpedia.org/resource/Kentucky","Kentucky",,,104656000000.0,"1792 establishments in the United States, Contiguous United States, Kentucky, Southern United States, States and territories established in 1792, States of the United States"
"http://dbpedia.org/resource/Kentucky","Kentucky",,,40408000000.0,"1792 establishments in the United States, Contiguous United States, Kentucky, Southern United States, States and territories established in 1792, States of the United States"
"http://dbpedia.org/resource/Louisiana","Louisiana","Baton Rouge, Louisiana",,52271000000.0,"1812 establishments in the United States, Contiguous United States, Former French colonies, Former Spanish colonies, Louisiana, Southern United States, States and territories established in 1812, States of the Confederate States of America, States of the Gulf Coast of the United States, States of the United States"
"http://dbpedia.org/resource/Louisiana","Louisiana","Louisiana (New Spain)",,135382000000.0,"1812 establishments in the United States, Contiguous United States, Former French colonies, Former Spanish colonies, Louisiana, Southern United States, States and territories established in 1812, States of the Confederate States of America, States of the Gulf Coast of the United States, States of the United States"
"http://dbpedia.org/resource/Louisiana","Louisiana","Baton Rouge, Louisiana",,135382000000.0,"1812 establishments in the United States, Contiguous United States, Former French colonies, Former Spanish colonies, Louisiana, Southern United States, States and territories established in 1812, States of the Confederate States of America, States of the Gulf Coast of the United States, States of the United States"
"http://dbpedia.org/resource/Louisiana","Louisiana","Louisiana (New Spain)",,52271000000.0,"1812 establishments in the United States, Contiguous United States, Former French colonies, Former Spanish colonies, Louisiana, Southern United States, States and territories established in 1812, States of the Confederate States of America, States of the Gulf Coast of the United States, States of the United States"
