state1,state2,jaccard
Kentucky,Tennessee,0.2222222222222222
Nebraska,Utah,0.2222222222222222
Indiana,Minnesota,0.2222222222222222
Minnesota,New Mexico,0.2222222222222222
Nevada,Oregon,0.2222222222222222
Minnesota,Nevada,0.2222222222222222
Iowa,Ohio,0.2222222222222222
Oregon,Utah,0.2222222222222222
Illinois,Oklahoma,0.2222222222222222
New Hampshire,North Dakota,0.2222222222222222
Oklahoma,South Dakota,0.2222222222222222
New Mexico,Oregon,0.2222222222222222
Missouri,Tennessee,0.2222222222222222
Alabama,Kentucky,0.2222222222222222
Oklahoma,Utah,0.2222222222222222
Louisiana,Virginia,0.21739130434782608
Louisiana,North Carolina,0.21739130434782608
Delaware,Virginia,0.21739130434782608
Michigan,New Mexico,0.21052631578947367
Colorado,Wyoming,0.21052631578947367
Michigan,Nevada,0.21052631578947367
Arizona,Michigan,0.21052631578947367
Arizona,Massachusetts,0.21052631578947367
Alabama,Indiana,0.21052631578947367
California,Wyoming,0.21052631578947367
Montana,Texas,0.21052631578947367
Arkansas,Nebraska,0.21052631578947367
Vermont,West Virginia,0.21052631578947367
Massachusetts,Minnesota,0.21052631578947367
California,Montana,0.21052631578947367
Colorado,Montana,0.21052631578947367
Michigan,South Dakota,0.21052631578947367
Arkansas,Utah,0.21052631578947367
Maryland,Wisconsin,0.21052631578947367
Ohio,South Dakota,0.21052631578947367
Indiana,Massachusetts,0.21052631578947367
Minnesota,Ohio,0.21052631578947367
Iowa,Pennsylvania,0.21052631578947367
Alabama,Florida,0.20833333333333334
Kentucky,North Carolina,0.2
Oregon,Texas,0.2
Colorado,Minnesota,0.2
Texas,Utah,0.2
Colorado,New Mexico,0.2
Iowa,Mississippi,0.2
Indiana,South Carolina,0.2
Nebraska,Pennsylvania,0.2
Delaware,North Dakota,0.2
Kentucky,Louisiana,0.2
Nevada,Texas,0.2
Kentucky,Virginia,0.2
California,New Mexico,0.2
New York,Virginia,0.2
Kansas,Mississippi,0.2
Maryland,Vermont,0.2
New Mexico,Texas,0.2
Maine,West Virginia,0.2
Illinois,Pennsylvania,0.2
California,Oregon,0.2
Massachusetts,West Virginia,0.2
New Jersey,West Virginia,0.2
Arizona,Texas,0.2
New Hampshire,West Virginia,0.2
Florida,Mississippi,0.19230769230769232
Maine,Pennsylvania,0.19047619047619047
Maine,South Carolina,0.19047619047619047
New Hampshire,Pennsylvania,0.19047619047619047
Mississippi,Oklahoma,0.19047619047619047
Connecticut,Pennsylvania,0.19047619047619047
Arkansas,Texas,0.19047619047619047
New Jersey,South Carolina,0.19047619047619047
Mississippi,Oregon,0.19047619047619047
Arkansas,South Carolina,0.19047619047619047
Arkansas,Pennsylvania,0.19047619047619047
Maryland,Tennessee,0.19047619047619047
Massachusetts,Pennsylvania,0.19047619047619047
Tennessee,Texas,0.19047619047619047
Michigan,Texas,0.19047619047619047
California,Michigan,0.19047619047619047
South Carolina,West Virginia,0.19047619047619047
California,New Jersey,0.19047619047619047
Ohio,Pennsylvania,0.19047619047619047
Arizona,Louisiana,0.19047619047619047
Alaska,Wyoming,0.18181818181818182
Michigan,Virginia,0.18181818181818182
Maryland,Texas,0.18181818181818182
Alaska,Montana,0.18181818181818182
North Carolina,Ohio,0.18181818181818182
Louisiana,Ohio,0.18181818181818182
Colorado,Texas,0.18181818181818182
New Jersey,North Carolina,0.18181818181818182
South Carolina,Texas,0.18181818181818182
Iowa,Wyoming,0.17647058823529413
Kansas,Montana,0.17647058823529413
Idaho,Iowa,0.17647058823529413
Iowa,North Dakota,0.17647058823529413
Montana,Wisconsin,0.17647058823529413
Iowa,Missouri,0.17647058823529413
Kansas,Kentucky,0.17647058823529413
Idaho,Wisconsin,0.17647058823529413
Iowa,Wisconsin,0.17647058823529413
North Dakota,Wyoming,0.17647058823529413
Idaho,Kansas,0.17647058823529413
Idaho,Missouri,0.17647058823529413
California,Louisiana,0.17391304347826086
Colorado,Louisiana,0.17391304347826086
Maryland,Mississippi,0.17391304347826086
Louisiana,Maryland,0.17391304347826086
Delaware,North Carolina,0.16666666666666666
Kentucky,Oregon,0.16666666666666666
Delaware,Louisiana,0.16666666666666666
Iowa,New Mexico,0.16666666666666666
Iowa,Oregon,0.16666666666666666
Kentucky,Utah,0.16666666666666666
Minnesota,Montana,0.16666666666666666
Kentucky,New Mexico,0.16666666666666666
Hawaii,Idaho,0.16666666666666666
Idaho,Vermont,0.16666666666666666
Kansas,New Mexico,0.16666666666666666
Kansas,Nevada,0.16666666666666666
Idaho,Nevada,0.16666666666666666
Kansas,Minnesota,0.16666666666666666
Illinois,Wyoming,0.16666666666666666
Hawaii,Wyoming,0.16666666666666666
Indiana,Iowa,0.16666666666666666
Hawaii,Montana,0.16666666666666666
Minnesota,North Dakota,0.16666666666666666
Kentucky,Nevada,0.16666666666666666
Kansas,Utah,0.16666666666666666
Minnesota,Wyoming,0.16666666666666666
Florida,Washington,0.16666666666666666
Indiana,Montana,0.16666666666666666
Indiana,North Dakota,0.16666666666666666
Florida,Oklahoma,0.16666666666666666
Kentucky,Nebraska,0.16666666666666666
Iowa,Minnesota,0.16666666666666666
Florida,Illinois,0.16666666666666666
Iowa,Nevada,0.16666666666666666
Missouri,Oklahoma,0.16666666666666666
New Mexico,Wyoming,0.16666666666666666
Oklahoma,Wyoming,0.16666666666666666
Arizona,Wisconsin,0.16666666666666666
Montana,Vermont,0.16666666666666666
Vermont,Wyoming,0.16666666666666666
Nebraska,Wyoming,0.16666666666666666
Arizona,Idaho,0.16666666666666666
Oregon,Wyoming,0.16666666666666666
Oregon,Wisconsin,0.16666666666666666
North Dakota,Oklahoma,0.16666666666666666
Oklahoma,Wisconsin,0.16666666666666666
Montana,New Mexico,0.16666666666666666
Arizona,Missouri,0.16666666666666666
Alaska,California,0.16
Arkansas,Florida,0.16
Florida,Tennessee,0.16
Florida,New Jersey,0.16
Minnesota,South Dakota,0.15789473684210525
North Dakota,West Virginia,0.15789473684210525
Arizona,Indiana,0.15789473684210525
Nebraska,Oregon,0.15789473684210525
North Dakota,Ohio,0.15789473684210525
Ohio,Wisconsin,0.15789473684210525
Illinois,Utah,0.15789473684210525
Maine,Wyoming,0.15789473684210525
Nebraska,New Mexico,0.15789473684210525
Indiana,Oregon,0.15789473684210525
Oklahoma,Oregon,0.15789473684210525
Minnesota,Utah,0.15789473684210525
Arizona,Oregon,0.15789473684210525
Nevada,Oklahoma,0.15789473684210525
Minnesota,Oregon,0.15789473684210525
Arkansas,Wyoming,0.15789473684210525
Massachusetts,Wisconsin,0.15789473684210525
New Hampshire,Wyoming,0.15789473684210525
New Jersey,North Dakota,0.15789473684210525
Michigan,Missouri,0.15789473684210525
Michigan,Montana,0.15789473684210525
Idaho,Maine,0.15789473684210525
Idaho,New Hampshire,0.15789473684210525
Michigan,North Dakota,0.15789473684210525
Massachusetts,Missouri,0.15789473684210525
New Mexico,Oklahoma,0.15789473684210525
Nebraska,Nevada,0.15789473684210525
Idaho,West Virginia,0.15789473684210525
Michigan,Wisconsin,0.15789473684210525
Michigan,Wyoming,0.15789473684210525
Illinois,Indiana,0.15789473684210525
Arkansas,Kansas,0.15789473684210525
Hawaii,Indiana,0.15789473684210525
Minnesota,Nebraska,0.15789473684210525
Arkansas,Idaho,0.15789473684210525
Illinois,Minnesota,0.15789473684210525
Indiana,South Dakota,0.15789473684210525
Hawaii,Vermont,0.15789473684210525
South Dakota,Vermont,0.15789473684210525
Connecticut,Kansas,0.15789473684210525
Tennessee,Wisconsin,0.15789473684210525
Connecticut,North Dakota,0.15789473684210525
Kansas,Ohio,0.15789473684210525
Maine,North Dakota,0.15789473684210525
South Dakota,Utah,0.15789473684210525
Kansas,Michigan,0.15789473684210525
Kentucky,West Virginia,0.15789473684210525
Missouri,Ohio,0.15789473684210525
Alabama,Kansas,0.15789473684210525
Montana,West Virginia,0.15789473684210525
Alabama,Missouri,0.15789473684210525
Connecticut,Kentucky,0.15789473684210525
Iowa,Michigan,0.15789473684210525
Iowa,Tennessee,0.15789473684210525
Maine,Montana,0.15789473684210525
Montana,New Hampshire,0.15789473684210525
Indiana,Vermont,0.15789473684210525
West Virginia,Wyoming,0.15789473684210525
Kentucky,Ohio,0.15789473684210525
Alabama,Iowa,0.15789473684210525
Alabama,Montana,0.15789473684210525
Connecticut,Iowa,0.15789473684210525
Illinois,Washington,0.15384615384615385
Florida,Maryland,0.15384615384615385
Florida,Pennsylvania,0.15384615384615385
Georgia,Illinois,0.15384615384615385
Hawaii,Rhode Island,0.15384615384615385
Rhode Island,Vermont,0.15384615384615385
California,Florida,0.15384615384615385
Arkansas,Oregon,0.15
Hawaii,West Virginia,0.15
Kentucky,Maryland,0.15
Alabama,Minnesota,0.15
New Mexico,West Virginia,0.15
Arkansas,New Mexico,0.15
Kentucky,Pennsylvania,0.15
Kentucky,Texas,0.15
Massachusetts,Nevada,0.15
Idaho,Pennsylvania,0.15
New Mexico,Ohio,0.15
Arkansas,South Dakota,0.15
Texas,Wisconsin,0.15
Texas,Wyoming,0.15
Massachusetts,New Mexico,0.15
California,Idaho,0.15
Indiana,Tennessee,0.15
Kansas,Texas,0.15
Alabama,Oklahoma,0.15
Indiana,West Virginia,0.15
Indiana,Ohio,0.15
Oklahoma,Tennessee,0.15
Indiana,New Jersey,0.15
California,North Dakota,0.15
Indiana,New Hampshire,0.15
Maine,South Dakota,0.15
Oklahoma,West Virginia,0.15
Indiana,Michigan,0.15
Indiana,Maine,0.15
Alabama,Arizona,0.15
Pennsylvania,Wyoming,0.15
Arizona,Ohio,0.15
Kansas,Maryland,0.15
Arizona,Tennessee,0.15
Arizona,West Virginia,0.15
Maryland,Missouri,0.15
Illinois,New Jersey,0.15
South Carolina,Wisconsin,0.15
Maryland,Montana,0.15
South Dakota,West Virginia,0.15
Alabama,Oregon,0.15
Arkansas,Illinois,0.15
Arkansas,Nevada,0.15
Kentucky,South Carolina,0.15
Minnesota,West Virginia,0.15
Hawaii,New Hampshire,0.15
Hawaii,Maine,0.15
Colorado,Kansas,0.15
Colorado,Kentucky,0.15
Connecticut,Indiana,0.15
Michigan,Utah,0.15
Nevada,West Virginia,0.15
Colorado,Wisconsin,0.15
Connecticut,Nebraska,0.15
Connecticut,Nevada,0.15
Connecticut,New Mexico,0.15
Michigan,Oregon,0.15
Nebraska,Ohio,0.15
Colorado,Idaho,0.15
Nevada,Ohio,0.15
Colorado,Missouri,0.15
Missouri,South Carolina,0.15
Connecticut,Oklahoma,0.15
New Hampshire,South Dakota,0.15
Connecticut,Oregon,0.15
Michigan,Nebraska,0.15
Minnesota,Tennessee,0.15
Connecticut,Utah,0.15
Delaware,Florida,0.14814814814814814
Mississippi,Montana,0.14285714285714285
Oklahoma,Texas,0.14285714285714285
Oklahoma,South Carolina,0.14285714285714285
Indiana,Texas,0.14285714285714285
Illinois,Texas,0.14285714285714285
Maine,Rhode Island,0.14285714285714285
Oklahoma,Pennsylvania,0.14285714285714285
Arizona,Maryland,0.14285714285714285
North Carolina,Wisconsin,0.14285714285714285
Georgia,Michigan,0.14285714285714285
Iowa,Louisiana,0.14285714285714285
Ohio,Tennessee,0.14285714285714285
Colorado,Oregon,0.14285714285714285
Ohio,West Virginia,0.14285714285714285
Indiana,Pennsylvania,0.14285714285714285
