node,stateQID,capital_final,population_final,area_final,categories_dbpedia
Oklahoma,Q1649,Oklahoma City,3959353,181195.0,"1907 establishments in the United States, Contiguous United States, Oklahoma, South Central United States, Southern United States, States and territories established in 1907, States of the United States"
Oregon,Q824,Salem,4237256,255026.0,"1859 establishments in the United States, Contiguous United States, Geography of the Pacific Northwest, Oregon, States and territories established in 1859, States of the United States, States of the West Coast of the United States"
Pennsylvania,Q1400,Harrisburg,13002700,119283.0,"1787 establishments in the United States, Articles containing video clips, Contiguous United States, Mid-Atlantic states, Northeastern United States, Pennsylvania, States and territories established in 1787, States of the East Coast of the United States, States of the United States"
Rhode Island,Q1387,Providence,1097379,3144.245565,
South Carolina,Q1456,Columbia,5118425,82931.0,"1788 establishments in the United States, Contiguous United States, Former British colonies and protectorates in the Americas, South Carolina, Southern United States, States and territories established in 1788, States of the Confederate States of America, States of the East Coast of the United States, States of the United States"
South Dakota,Q1211,Pierre,886667,199729.0,"1889 establishments in the United States, Contiguous United States, Former French colonies, Midwestern United States, South Dakota, States and territories established in 1889, States of the United States"
Tennessee,Q1509,Nashville,6910840,109247.0,"1796 establishments in the United States, Contiguous United States, Southern United States, State of Franklin, States and territories established in 1796, States of the Confederate States of America, States of the United States, Tennessee"
Texas,Q1439,Austin,29145505,696241.0,"1845 establishments in the United States, Contiguous United States, Former Spanish colonies, Southern United States, States and territories established in 1845, States of the Confederate States of America, States of the Gulf Coast of the United States, States of the United States, Texas"
Utah,Q829,Salt Lake City,3271616,219653.0,"1896 establishments in the United States, Contiguous United States, Former Spanish colonies, States and territories established in 1896, States of the United States, Utah, Western United States"
Vermont,Q16551,Montpelier,643077,24923.0,"1791 establishments in the United States, Contiguous United States, New England states, Northeastern United States, States and territories established in 1791, States of the United States, Vermont"
Virginia,Q1370,Richmond,8631393,110862.0,"1788 establishments in the United States, Contiguous United States, Former British colonies and protectorates in the Americas, Mid-Atlantic states, Southern United States, States and territories established in 1788, States of the Confederate States of America, States of the East Coast of the United States, States of the United States, Virginia"
Washington,Q1223,Olympia,7705281,184827.0,
West Virginia,Q1371,Charleston,1793716,62755.0,"1863 establishments in Virginia, Contiguous United States, Geography of Appalachia, Mid-Atlantic states, Southern United States, States and territories established in 1863, States of the United States, West Virginia"
Wisconsin,Q1537,Madison,5893718,169640.0,"1848 establishments in the United States, Contiguous United States, Midwestern United States, States and territories established in 1848, States of the United States, Wisconsin"
Wyoming,Q1214,Cheyenne,576851,253348.0,"1890 establishments in the United States, Contiguous United States, States and territories established in 1890, States of the United States, Western United States, Wyoming"
