state_key,state,stateLabel,stateQID,capitalLabel,population,area,state_dbpedia,stateLabel_dbpedia,capitalLabel_dbpedia,population_dbpedia,area_dbpedia,categories_dbpedia,capital_final,population_final,area_final
maine,http://www.wikidata.org/entity/Q724,Maine,Q724,Augusta,1362359,91646.0,http://dbpedia.org/resource/Maine,Maine,"Augusta, Maine",,91646000000.0,"1820 establishments in the United States, Contiguous United States, Maine, New England states, Northeastern United States, States and territories established in 1820, States of the East Coast of the United States, States of the United States",Augusta,1362359,91646.0
maryland,http://www.wikidata.org/entity/Q1391,Maryland,Q1391,Annapolis,6177224,32131.0,http://dbpedia.org/resource/Maryland,Maryland,,,12407000000.0,"1788 establishments in the United States, Contiguous United States, Maryland, Mid-Atlantic states, Northeastern United States, Southern United States, States and territories established in 1788, States of the East Coast of the United States, States of the United States",Annapolis,6177224,32131.0
massachusetts,http://www.wikidata.org/entity/Q771,Massachusetts,Q771,Boston,7029917,27336.0,http://dbpedia.org/resource/Massachusetts,Massachusetts,Boston,,27363224385.69984,"1788 establishments in the United States, Contiguous United States, Massachusetts, New England states, Northeastern United States, States and territories established in 1788, States of the East Coast of the United States, States of the United States",Boston,7029917,27336.0
michigan,http://www.wikidata.org/entity/Q1166,Michigan,Q1166,Lansing,10077331,250493.0,http://dbpedia.org/resource/Michigan,Michigan,"Lansing, Michigan",,96716000000.0,"1837 establishments in Michigan, Contiguous United States, Former French colonies, Michigan, Midwestern United States, New France, States and territories established in 1837, States of the United States",Lansing,10077331,250493.0
minnesota,http://www.wikidata.org/entity/Q1527,Minnesota,Q1527,Saint Paul,5706494,225163.0,http://dbpedia.org/resource/Minnesota,Minnesota,"Saint Paul, Minnesota",,225163000000.0,"1858 establishments in the United States, Contiguous United States, Dakota toponyms, Midwestern United States, Minnesota, States and territories established in 1858, States of the United States",Saint Paul,5706494,225163.0
mississippi,http://www.wikidata.org/entity/Q1494,Mississippi,Q1494,Jackson,2961279,125443.0,http://dbpedia.org/resource/Mississippi,Mississippi,,2943045.0,125433124183.5725,"1817 establishments in the United States, Contiguous United States, Former British colonies and protectorates in the Americas, Former French colonies, Mississippi, Southern United States, States and territories established in 1817, States of the Confederate States of America, States of the Gulf Coast of the United States, States of the United States",Jackson,2961279,125443.0
missouri,http://www.wikidata.org/entity/Q1581,Missouri,Q1581,Jefferson City,6154913,181533.0,http://dbpedia.org/resource/Missouri,Missouri,,,180533000000.0,"1821 establishments in the United States, Contiguous United States, Midwestern United States, Missouri, States and territories established in 1821, States of the United States",Jefferson City,6154913,181533.0
montana,http://www.wikidata.org/entity/Q1212,Montana,Q1212,Helena,1084225,381154.0,http://dbpedia.org/resource/Montana,Montana,"Helena, Montana",,147040000000.0,"1889 establishments in the United States, Contiguous United States, Montana, States and territories established in 1889, States of the United States, Western United States",Helena,1084225,381154.0
nebraska,http://www.wikidata.org/entity/Q1553,Nebraska,Q1553,Lincoln,1961504,200520.0,http://dbpedia.org/resource/Nebraska,Nebraska,,,200356000000.0,"1867 establishments in the United States, Articles containing video clips, Contiguous United States, Midwestern United States, Nebraska, States and territories established in 1867, States of the United States",Lincoln,1961504,200520.0
nevada,http://www.wikidata.org/entity/Q1227,Nevada,Q1227,Carson City,3104614,286380.0,http://dbpedia.org/resource/Nevada,Nevada,"Carson City, Nevada",,286382000000.0,"1864 establishments in Nevada, Contiguous United States, Former Spanish colonies, Nevada, States and territories established in 1864, States of the United States, Western United States",Carson City,3104614,286380.0
newhampshire,http://www.wikidata.org/entity/Q759,New Hampshire,Q759,Concord,1377529,24214.0,http://dbpedia.org/resource/New_Hampshire,New Hampshire,"Concord, New Hampshire",,9350000000.0,"1788 establishments in the United States, Contiguous United States, New England states, New Hampshire, Northeastern United States, States and territories established in 1788, States of the East Coast of the United States, States of the United States",Concord,1377529,24214.0
newjersey,http://www.wikidata.org/entity/Q1408,New Jersey,Q1408,Trenton,9288994,22591.4,http://dbpedia.org/resource/New_Jersey,New Jersey,,,8722580000.0,"1787 establishments in New Jersey, Contiguous United States, Mid-Atlantic states, New Jersey, Northeastern United States, States and territories established in 1787, States of the East Coast of the United States, States of the United States",Trenton,9288994,22591.4
newmexico,http://www.wikidata.org/entity/Q1522,New Mexico,Q1522,Santa Fe,2117522,315194.0,http://dbpedia.org/resource/New_Mexico,New Mexico,,,121591000000.0,"1912 establishments in New Mexico, Contiguous United States, Former Spanish colonies, New Mexico, Southwestern United States, States and territories established in 1912, States of the United States",Santa Fe,2117522,315194.0
newyork,http://www.wikidata.org/entity/Q1384,New York,Q1384,Albany,20201249,141300.0,,,,,,,Albany,20201249,141300.0
